state,election,year,D,R,T
Maine 1,House,2012,Chellie Pingree,Jon Courtney,
Maine 2,House,2012,Mike Michaud,Kevin Raye,
Maryland 1,House,2012,Wendy Rosen,Andrew Harris,"John LaFerla,Muir Boda"
Maryland 2,House,2012,Dutch Ruppersberger,Nancy Jacobs,Leo Dymowski
Maryland 3,House,2012,John Sarbanes,Eric Knowles,Paul Drgos
Maryland 4,House,2012,Donna Edwards,Faith Loudon,Scott Soffen
Maryland 5,House,2012,Steny Hoyer,Tony O'Donnell,"Bob Auerbach,Arvin Vohra,Jeremy Stinson"
Maryland 6,House,2012,John Delaney,Roscoe Bartlett,Nicklaus Mueller
Maryland 7,House,2012,Elijah Cummings,Frank Mirabile,"Ronald Owens-Bey,Robert Brookman"
Maryland 8,House,2012,Chris Van Hollen,Ken Timmerman,"Mark Grannis,George Gluck"
Massachusetts 1,House,2012,Richard Neal,,
Massachusetts 2,House,2012,Jim McGovern,,
Massachusetts 3,House,2012,Niki Tsongas,Jon Golnik,
Massachusetts 4,House,2012,Joseph Kennedy III,Sean Bielat,
Massachusetts 5,House,2012,Ed Markey,Tom Tierney,
Massachusetts 6,House,2012,John Tierney,Richard Tisei,Daniel Fishman
Massachusetts 7,House,2012,Mike Capuano,,Karla Romero
Massachusetts 8,House,2012,Stephen Lynch,Joe Selvaggi,
Massachusetts 9,House,2012,William Keating,Christopher Sheldon,Daniel Botelho
Michigan 1,House,2012,Gary McDowell,Dan Benishek,"Emily Salvette,Ellis Boal"
Michigan 2,House,2012,Willie German,Bill Huizenga,"Mary Buzuma,William Opalicky"
Michigan 3,House,2012,Steve Pestka,Justin Amash,Bill Gelineau
Michigan 4,House,2012,Debra Freidell Wirth,David Camp,"John Gelineau,George Zimmer,Pat Timmons"
Michigan 5,House,2012,Dan Kildee,Jim Slezak,"David Davenport,Greg Creswell"
Michigan 6,House,2012,Mike O'Brien,Fred Upton,"Christie Gelineau,Jason Gatties"
Michigan 7,House,2012,Kurt Haskell,Tim Walberg,"Ken Proctor,Richard Wunsch"
Michigan 8,House,2012,Lance Enderle,Mike Rogers,"Daniel Goebel,Preston Brooks"
Michigan 9,House,2012,Sander Levin,Don Volaric,"Jim Fulner,Julia Williams,Lester Townsend"
Michigan 10,House,2012,Chuck Stadler,Candice Miller,Baghwan Dashairya
Michigan 11,House,2012,David Curson,Kerry Bentivolio,"John Tatar,Marc Sosnowski"
Michigan 11,House,2012,Syed Taj,Kerry Bentivolio,"John Tatar,Steven Paul Duke,Daniel Johnson"
Michigan 12,House,2012,John Dingell,Cynthia Kallgren,Rick Secula
Michigan 13,House,2012,John Conyers,Harry Sawicki,"Chris Sharer,Martin Gray"
Michigan 14,House,2012,Gary Peters,John Hauler,"Leonard Schwartz,Douglas Campbell"
Minnesota 1,House,2012,Tim Walz,Allen Quist,
Minnesota 2,House,2012,Mike Obermueller,John Kline,
Minnesota 3,House,2012,Brian Barnes,Erik Paulsen,
Minnesota 4,House,2012,Betty McCollum,Tony Hernandez,Steve Carlson
Minnesota 5,House,2012,Keith Ellison,Chris Fields,
Minnesota 6,House,2012,Jim Graves,Michele Bachmann,
Minnesota 7,House,2012,Collin Peterson,Lee Byberg,Adam Steele
Minnesota 8,House,2012,Rick Nolan,Chip Cravaack,
Mississippi 1,House,2012,Brad Morris,Alan Nunnelee,"Danny Bedwell,Jim Bourland,Jim Chris Potts"
Mississippi 2,House,2012,Bennie Thompson,Bill Marcy,"Cobby Williams,Lajena Williams"
Mississippi 3,House,2012,,Gregg Harper,John Pannell
Mississippi 4,House,2012,Matthew Moore,Steven Palazzo,"Ron Williams,Bob Claunch"
Missouri 1,House,2012,Lacy Clay,Robyn Hamlin,Rob Cunningham
Missouri 2,House,2012,Glenn Koenen,Ann Wagner,"Bill Slantz,Anitol Zorikova"
Missouri 3,House,2012,Eric Mayer,Blaine Luetkemeyer,Steve Wilson
